species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,month,day,year
Gentoo,Biscoe,47.5,14.2,209,4600,female,11,18,2008
Gentoo,Biscoe,51.1,16.3,220,6000,male,2,24,2008
Gentoo,Biscoe,45.2,13.8,215,4750,female,5,13,2008
Gentoo,Biscoe,45.2,16.4,223,5950,male,10,20,2008
Gentoo,Biscoe,49.1,14.5,212,4625,female,2,16,2009
Gentoo,Biscoe,52.5,15.6,221,5450,male,3,10,2009
Gentoo,Biscoe,47.4,14.6,212,4725,female,9,4,2009
Gentoo,Biscoe,50,15.9,224,5350,male,10,14,2009
Gentoo,Biscoe,44.9,13.8,212,4750,female,11,15,2009
Gentoo,Biscoe,50.8,17.3,228,5600,male,8,2,2009
Gentoo,Biscoe,43.4,14.4,218,4600,female,3,23,2009
Gentoo,Biscoe,51.3,14.2,218,5300,male,8,3,2009
Gentoo,Biscoe,47.5,14,212,4875,female,11,10,2009
Gentoo,Biscoe,52.1,17,230,5550,male,6,18,2009
Gentoo,Biscoe,47.5,15,218,4950,female,10,25,2009
Gentoo,Biscoe,52.2,17.1,228,5400,male,11,12,2009
Gentoo,Biscoe,45.5,14.5,212,4750,female,2,16,2009
Gentoo,Biscoe,49.5,16.1,224,5650,male,9,23,2009
Gentoo,Biscoe,44.5,14.7,214,4850,female,2,7,2009
Gentoo,Biscoe,50.8,15.7,226,5200,male,4,1,2009
Gentoo,Biscoe,49.4,15.8,216,4925,male,9,15,2009
Gentoo,Biscoe,46.9,14.6,222,4875,female,2,17,2009
Gentoo,Biscoe,48.4,14.4,203,4625,female,3,18,2009
Gentoo,Biscoe,51.1,16.5,225,5250,male,9,14,2009
Gentoo,Biscoe,48.5,15,219,4850,female,6,5,2009
Gentoo,Biscoe,55.9,17,228,5600,male,7,2,2009
Gentoo,Biscoe,47.2,15.5,215,4975,female,8,24,2009
Gentoo,Biscoe,49.1,15,228,5500,male,4,1,2009
Gentoo,Biscoe,47.3,13.8,216,4725,NA,3,2,2009
Gentoo,Biscoe,46.8,16.1,215,5500,male,6,5,2009
Gentoo,Biscoe,41.7,14.7,210,4700,female,9,21,2009
Gentoo,Biscoe,53.4,15.8,219,5500,male,12,1,2009
Gentoo,Biscoe,43.3,14,208,4575,female,2,10,2009
Gentoo,Biscoe,48.1,15.1,209,5500,male,8,10,2009
Gentoo,Biscoe,50.5,15.2,216,5000,female,7,15,2009
Gentoo,Biscoe,49.8,15.9,229,5950,male,11,23,2009
Gentoo,Biscoe,43.5,15.2,213,4650,female,2,6,2009
Gentoo,Biscoe,51.5,16.3,230,5500,male,12,19,2009
Gentoo,Biscoe,46.2,14.1,217,4375,female,6,20,2009
Gentoo,Biscoe,55.1,16,230,5850,male,4,18,2009
Gentoo,Biscoe,44.5,15.7,217,4875,NA,5,13,2009
Gentoo,Biscoe,48.8,16.2,222,6000,male,8,17,2009
Gentoo,Biscoe,47.2,13.7,214,4925,female,8,9,2009
Gentoo,Biscoe,NA,NA,NA,NA,NA,12,11,2009
Gentoo,Biscoe,46.8,14.3,215,4850,female,7,20,2009
Gentoo,Biscoe,50.4,15.7,222,5750,male,9,18,2009
Gentoo,Biscoe,45.2,14.8,212,5200,female,12,11,2009
Gentoo,Biscoe,49.9,16.1,213,5400,male,6,15,2009
Chinstrap,Dream,46.5,17.9,192,3500,female,7,4,2007
Chinstrap,Dream,50,19.5,196,3900,male,9,6,2007
Chinstrap,Dream,51.3,19.2,193,3650,male,4,15,2007
Chinstrap,Dream,45.4,18.7,188,3525,female,6,10,2007
Chinstrap,Dream,52.7,19.8,197,3725,male,8,19,2007
Chinstrap,Dream,45.2,17.8,198,3950,female,12,20,2007
Chinstrap,Dream,46.1,18.2,178,3250,female,11,20,2007
Chinstrap,Dream,51.3,18.2,197,3750,male,2,11,2007
Chinstrap,Dream,46,18.9,195,4150,female,10,25,2007
Chinstrap,Dream,51.3,19.9,198,3700,male,12,15,2007
Chinstrap,Dream,46.6,17.8,193,3800,female,12,22,2007
Chinstrap,Dream,51.7,20.3,194,3775,male,2,13,2007
Chinstrap,Dream,47,17.3,185,3700,female,4,24,2007
Chinstrap,Dream,52,18.1,201,4050,male,3,12,2007
Chinstrap,Dream,45.9,17.1,190,3575,female,2,5,2007
Chinstrap,Dream,50.5,19.6,201,4050,male,10,18,2007
Chinstrap,Dream,50.3,20,197,3300,male,11,15,2007
Chinstrap,Dream,58,17.8,181,3700,female,8,18,2007
Chinstrap,Dream,46.4,18.6,190,3450,female,6,13,2007
Chinstrap,Dream,49.2,18.2,195,4400,male,8,5,2007
Chinstrap,Dream,42.4,17.3,181,3600,female,7,17,2007
Chinstrap,Dream,48.5,17.5,191,3400,male,1,10,2007
Chinstrap,Dream,43.2,16.6,187,2900,female,6,5,2007
Chinstrap,Dream,50.6,19.4,193,3800,male,1,13,2007
Chinstrap,Dream,46.7,17.9,195,3300,female,5,21,2007
Chinstrap,Dream,52,19,197,4150,male,4,7,2007
Chinstrap,Dream,50.5,18.4,200,3400,female,11,14,2008
Chinstrap,Dream,49.5,19,200,3800,male,1,12,2008
Chinstrap,Dream,46.4,17.8,191,3700,female,5,15,2008
Chinstrap,Dream,52.8,20,205,4550,male,1,10,2008
Chinstrap,Dream,40.9,16.6,187,3200,female,3,2,2008
Chinstrap,Dream,54.2,20.8,201,4300,male,8,12,2008
Chinstrap,Dream,42.5,16.7,187,3350,female,4,20,2008
Chinstrap,Dream,51,18.8,203,4100,male,3,4,2008
Chinstrap,Dream,49.7,18.6,195,3600,male,10,13,2008
Chinstrap,Dream,47.5,16.8,199,3900,female,7,7,2008
Chinstrap,Dream,47.6,18.3,195,3850,female,12,9,2008
Chinstrap,Dream,52,20.7,210,4800,male,9,25,2008
Chinstrap,Dream,46.9,16.6,192,2700,female,11,22,2008
Chinstrap,Dream,53.5,19.9,205,4500,male,7,8,2008
Chinstrap,Dream,49,19.5,210,3950,male,11,8,2008
Chinstrap,Dream,46.2,17.5,187,3650,female,5,8,2008
Chinstrap,Dream,50.9,19.1,196,3550,male,2,15,2008
Chinstrap,Dream,45.5,17,196,3500,female,4,7,2008
Chinstrap,Dream,50.9,17.9,196,3675,female,5,15,2009
Chinstrap,Dream,50.8,18.5,201,4450,male,11,2,2009
Chinstrap,Dream,50.1,17.9,190,3400,female,1,4,2009
Chinstrap,Dream,49,19.6,212,4300,male,4,4,2009
Chinstrap,Dream,51.5,18.7,187,3250,male,11,15,2009
Chinstrap,Dream,49.8,17.3,198,3675,female,11,1,2009
Chinstrap,Dream,48.1,16.4,199,3325,female,10,11,2009
Chinstrap,Dream,51.4,19,201,3950,male,11,10,2009
Chinstrap,Dream,45.7,17.3,193,3600,female,10,14,2009
Chinstrap,Dream,50.7,19.7,203,4050,male,4,10,2009
Chinstrap,Dream,42.5,17.3,187,3350,female,9,12,2009
Chinstrap,Dream,52.2,18.8,197,3450,male,4,1,2009
Chinstrap,Dream,45.2,16.6,191,3250,female,2,20,2009
Chinstrap,Dream,49.3,19.9,203,4050,male,2,17,2009
Chinstrap,Dream,50.2,18.8,202,3800,male,3,23,2009
Chinstrap,Dream,45.6,19.4,194,3525,female,2,10,2009
Chinstrap,Dream,51.9,19.5,206,3950,male,7,11,2009
Chinstrap,Dream,46.8,16.5,189,3650,female,5,23,2009
Chinstrap,Dream,45.7,17,195,3650,female,7,21,2009
Chinstrap,Dream,55.8,19.8,207,4000,male,6,4,2009
Chinstrap,Dream,43.5,18.1,202,3400,female,6,8,2009
Chinstrap,Dream,49.6,18.2,193,3775,male,4,8,2009
Chinstrap,Dream,50.8,19,210,4100,male,8,24,2009
Chinstrap,Dream,50.2,18.7,198,3775,female,2,11,2009
